,name,company description,rating,review,salaries,no. of job opening
82,Shapoorji Pallonji Group,Engineering & Construction | 5k-10k Employees | Conglomerate | 158 years old | Mumbai +149 more,4.2,3.9k Reviews,15k Salaries,26 Jobs
83,JSW Steel,Iron & Steel | 10k-50k Employees | Public | 41 years old | Mumbai +111 more,3.9,3.9k Reviews,22.7k Salaries,54 Jobs
84,Shriram Transport Finance,NBFC | 10k-50k Employees | Public | 44 years old | Mumbai +740 more,4.1,3.9k Reviews,9.4k Salaries,-- Jobs
85,Max Life Insurance,Insurance | 10k-50k Employees | 23 years old | Gurgaon/Gurugram +347 more,4.1,3.9k Reviews,15.6k Salaries,532 Jobs
86,Ashok Leyland,Automobile | 10k-50k Employees | Public | 75 years old | Chennai +195 more,4.1,3.9k Reviews,19.2k Salaries,1 Jobs
87,Muthoot Finance,NBFC | 10k-50k Employees | Public | 84 years old | Kochi/Cochin +560 more,3.6,3.9k Reviews,11.7k Salaries,185 Jobs
88,Oracle,Software Product | 50k-1 Lakh Employees | Public | 46 years old | Austin +37 more,3.9,3.9k Reviews,50.1k Salaries,221 Jobs
89,Vivo,Consumer Electronics & Appliances | 5k-10k Employees | Conglomerate | 14 years old | Gurgaon/Gurugram +351 more,4.0,3.8k Reviews,14.6k Salaries,8 Jobs
90,Aurobindo Pharma,Pharma | 10k-50k Employees | Public | 37 years old | Hyderabad/Secunderabad +55 more,4.0,3.8k Reviews,21.3k Salaries,8 Jobs
91,eClerx,IT Services & Consulting | 10k-50k Employees | Public | 23 years old | Mumbai +16 more,3.5,3.8k Reviews,25.6k Salaries,61 Jobs
92,Apollo Hospitals,Healthcare | 50k-1 Lakh Employees | Public | 40 years old | Chennai +169 more,4.1,3.8k Reviews,16k Salaries,46 Jobs
93,Siemens,Power | 5k-10k Employees | Public | 176 years old | Munich +114 more,4.2,3.8k Reviews,27.2k Salaries,1.3k Jobs
94,Zydus Cadila,Pharma | 10k-50k Employees | Public | 71 years old | Ahmedabad +121 more,4.2,3.8k Reviews,14.5k Salaries,48 Jobs
95,Tata Projects,Engineering & Construction | 10k-50k Employees | Public | 44 years old | Mumbai +222 more,4.2,3.8k Reviews,19k Salaries,26 Jobs
96,Capgemini Technology Services India Limited,Bengaluru/Bangalore +31 more,4.0,3.8k Reviews,41.8k Salaries,2 Jobs
97,JLL,Real Estate | 5k-10k Employees | Forbes Global 2000 | 26 years old | Mumbai +64 more,4.2,3.7k Reviews,18.9k Salaries,22 Jobs
98,First Source,BPO | 10k-50k Employees | Public | 22 years old | Mumbai +49 more,3.8,3.7k Reviews,19.5k Salaries,94 Jobs
99,Hero MotoCorp,Automobile | 5k-10k Employees | Public | 39 years old | Gurgaon/Gurugram +291 more,4.2,3.6k Reviews,14.5k Salaries,7 Jobs
100,JustDial,Internet | 10k-50k Employees | Public | 27 years old | Mumbai +153 more,3.6,3.6k Reviews,15.2k Salaries,105 Jobs
101,Hewlett-Packard Enterprise,Emerging Technologies | 10k-50k Employees | Forbes Global 2000 | 8 years old | Houston +89 more,4.3,3.6k Reviews,31.8k Salaries,55 Jobs
102,Mahindra & Mahindra Financial Services,NBFC | 10k-50k Employees | Public | 32 years old | Mumbai +604 more,4.3,3.5k Reviews,10.8k Salaries,57 Jobs
103,Omega Healthcare,IT Services & Consulting | 5k-10k Employees | 19 years old | Florida +31 more,3.7,3.5k Reviews,19k Salaries,82 Jobs
104,L&T Construction,Engineering & Construction | 10k-50k Employees | Public | 79 years old | Chennai +289 more,4.0,3.5k Reviews,13.3k Salaries,-- Jobs
105,Cyient,IT Services & Consulting | 10k-50k Employees | Public | 32 years old | Hyderabad/Secunderabad +27 more,3.7,3.4k Reviews,24.6k Salaries,288 Jobs
106,Megha Engineering & Infrastructures,Engineering & Construction | 1k-5k Employees | Conglomerate | 34 years old | Hyderabad/Secunderabad +249 more,4.1,3.4k Reviews,13.8k Salaries,39 Jobs
107,Bajaj Allianz Life Insurance,Insurance | 10k-50k Employees | 22 years old | Pune +466 more,4.1,3.4k Reviews,14.7k Salaries,32 Jobs
108,D Mart,Retail | 10k-50k Employees | Fortune India 500 | 4 years old | Mumbai +197 more,3.9,3.3k Reviews,13.6k Salaries,84 Jobs
109,Hyundai Motor,Automobile | 10k-50k Employees | Fortune India 500 | 56 years old | Seoul +247 more,4.3,3.3k Reviews,13.8k Salaries,18 Jobs
110,Reliance Communications,Telecom | 10k-50k Employees | Public | 21 years old | Navi Mumbai +398 more,3.9,3.3k Reviews,14.3k Salaries,2 Jobs
111,TVS Motor,Automobile | 10k-50k Employees | Public | 44 years old | Chennai +250 more,4.0,3.3k Reviews,14.5k Salaries,51 Jobs
112,BigBasket,Internet | 10k-50k Employees | Indian Unicorn | 12 years old | Bangalore +99 more,4.0,3.3k Reviews,14.6k Salaries,18 Jobs
113,Indiamart Intermesh,Internet | 10k-50k Employees | 27 years old | Noida +121 more,3.6,3.2k Reviews,16.5k Salaries,839 Jobs
114,Oyo Rooms,Hospitality | 1k-5k Employees | Indian Unicorn | 10 years old | Gurgaon +110 more,3.4,3.2k Reviews,25k Salaries,166 Jobs
115,Bosch,Auto Components | 10k-50k Employees | Public | 137 years old | Gerlingen +92 more,4.3,3.2k Reviews,19.3k Salaries,10 Jobs
116,Manappuram Finance,NBFC | 10k-50k Employees | Public | 74 years old | Thrissur/Trichur +448 more,3.9,3.2k Reviews,7.8k Salaries,1 Jobs
117,Atos Syntel,IT Services & Consulting | 5k-10k Employees | 43 years old | Troy +16 more,3.6,3.2k Reviews,34.1k Salaries,29 Jobs
118,SBI Cards & Payment Services,Financial Services | 1k-5k Employees | 25 years old | Gurgaon/Gurugram +300 more,3.7,3.1k Reviews,16k Salaries,52 Jobs
119,Intelenet Global Services,BPO | 10k-50k Employees | 23 years old | Mumbai +57 more,3.7,3.1k Reviews,10.4k Salaries,-- Jobs
120,Future Group,Retail | 10k-50k Employees | Conglomerate | 10 years old | Mumbai +197 more,4.2,3.1k Reviews,12.9k Salaries,16 Jobs
121,Cummins,Auto Components | 10k-50k Employees | Fortune India 500 | 61 years old | Columbus +93 more,4.4,3.1k Reviews,14.2k Salaries,14 Jobs
122,BNY Mellon,IT Services & Consulting | 5k-10k Employees | Forbes Global 2000 | 19 years old | New York City +12 more,4.1,3.1k Reviews,26.3k Salaries,746 Jobs
123,Bosch Global Software Technologies,Software Product | 10k-50k Employees | 33 years old | Gerlingen +24 more,4.2,3.1k Reviews,30.5k Salaries,8 Jobs
124,SMFG India Credit,NBFC | 10k-50k Employees | 16 years old | Mumbai +451 more,4.1,3.1k Reviews,10.4k Salaries,38 Jobs
125,Coforge,IT Services & Consulting | 10k-50k Employees | Public | 19 years old | Noida +79 more,3.6,3.1k Reviews,28.6k Salaries,175 Jobs
126,IQVIA,Clinical Research | 10k-50k Employees | Forbes Global 2000 | 41 years old | Durham +38 more,4.1,3k Reviews,23.2k Salaries,36 Jobs
127,Amdocs,Software Product | 10k-50k Employees | Forbes Global 2000 | 41 years old | Chesterfield +13 more,4.0,3k Reviews,30.7k Salaries,5 Jobs
128,UST,IT Services & Consulting | 10k-50k Employees | 22 years old | Aliso Viejo +32 more,3.9,3k Reviews,32.4k Salaries,145 Jobs
129,Nagarro,IT Services & Consulting | 10k-50k Employees | 27 years old | Munich +33 more,4.3,3k Reviews,18.4k Salaries,83 Jobs
130,ICICI Lombard General Insurance Company,Insurance | 10k-50k Employees | Public | 22 years old | Mumbai +230 more,3.8,3k Reviews,14.9k Salaries,72 Jobs
131,GlobalLogic,IT Services & Consulting | 10k-50k Employees | 23 years old | San Jose +25 more,3.8,3k Reviews,28k Salaries,88 Jobs
132,Virtusa Consulting Services,IT Services & Consulting | 10k-50k Employees | 27 years old | Southborough +26 more,3.8,3k Reviews,42.5k Salaries,103 Jobs
133,Schneider Electric,Industrial Automation | 10k-50k Employees | Forbes Global 2000 | 24 years old | Paris +97 more,4.1,3k Reviews,19.7k Salaries,209 Jobs
134,Samsung,5k-10k Employees | Public | 85 years old | Seoul +394 more,4.1,3k Reviews,16.3k Salaries,158 Jobs
135,CBRE,Real Estate | 10k-50k Employees | Forbes Global 2000 | 117 years old | Los Angeles +61 more,4.2,3k Reviews,15k Salaries,91 Jobs
136,JBM Group,Auto Components | 10k-50k Employees | Public | 40 years old | Gurgaon/Gurugram +76 more,4.0,2.9k Reviews,13.1k Salaries,1 Jobs
137,Dell,Consumer Electronics & Appliances | 10k-50k Employees | Forbes Global 2000 | 39 years old | Round Rock +82 more,4.1,2.9k Reviews,24.6k Salaries,114 Jobs
138,Ecom Express,Logistics | 10k-50k Employees | 11 years old | Gurgaon +565 more,4.1,2.9k Reviews,8.5k Salaries,49 Jobs
139,State Bank of India,Banking | 1 Lakh+ Employees | Fortune India 500 | 217 years old | Mumbai +426 more,3.8,2.9k Reviews,10.7k Salaries,186 Jobs
140,Cholamandalam Investment & Finance,NBFC | 5k-10k Employees | Fortune India 500 | 45 years old | Chennai +553 more,4.1,2.8k Reviews,9.4k Salaries,11 Jobs
141,Swiggy,Internet | 5k-10k Employees | Indian Unicorn | 9 years old | Bangalore +156 more,4.0,2.8k Reviews,18.7k Salaries,332 Jobs
142,Bajaj Auto,Automobile | 5k-10k Employees | Public | 78 years old | Pune +219 more,3.9,2.8k Reviews,12.7k Salaries,2 Jobs
143,Equitas Small Finance Bank,Banking | 10k-50k Employees | Fortune India 500 | 16 years old | Chennai +322 more,4.1,2.8k Reviews,11.3k Salaries,17 Jobs
144,Viatris,Pharma | 10k-50k Employees | Forbes Global 2000 | 62 years old | Canonsburg +63 more,4.3,2.8k Reviews,14.4k Salaries,3 Jobs
145,Samvardhana Motherson Group,Auto Components | 5k-10k Employees | Public | 37 years old | Noida +67 more,3.8,2.8k Reviews,14.4k Salaries,66 Jobs
146,L&T Technology Services,IT Services & Consulting | 10k-50k Employees | Public | 11 years old | Vadodara/Baroda +36 more,3.4,2.8k Reviews,27.8k Salaries,2 Jobs
147,KEC International,Engineering & Construction | 5k-10k Employees | Public | 78 years old | Mumbai +239 more,4.1,2.8k Reviews,10.5k Salaries,4 Jobs
148,Nagarjuna Construction Company,Engineering & Construction | 1k-5k Employees | Public | 25 years old | Hyderabad/Secunderabad +198 more,4.1,2.8k Reviews,10.8k Salaries,6 Jobs
