Unnamed: 0_x,name,rating_x,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee,Unnamed: 0_y,company description,rating_y,review,salaries,no. of job opening
20,Teleperformance,3.6,(7.7k Reviews),Private,Paris + 95 more,44 years old,50k-1 Lakh employees (India),19,BPO | 10k-50k Employees | Forbes Global 2000 | 45 years old | Paris +126 more,3.6,14.8k Reviews,72.3k Salaries,249 Jobs
20,Teleperformance,3.6,(7.7k Reviews),Private,Paris + 95 more,44 years old,50k-1 Lakh employees (India),219,BPO | 10k-50k Employees | Forbes Global 2000 | 45 years old | Paris +126 more,3.6,14.8k Reviews,72.3k Salaries,249 Jobs
20,Teleperformance,3.6,(7.7k Reviews),Private,Paris + 95 more,44 years old,50k-1 Lakh employees (India),419,BPO | 10k-50k Employees | Forbes Global 2000 | 45 years old | Paris +126 more,3.6,14.8k Reviews,72.3k Salaries,249 Jobs
21,Tata Motors,4.1,(7.5k Reviews),Public,"Pune,Maharashtra + 350 more",77 years old,50k-1 Lakh employees (India),26,Automobile | 10k-50k Employees | Public | 78 years old | Pune +418 more,4.2,10k Reviews,42.9k Salaries,19 Jobs
21,Tata Motors,4.1,(7.5k Reviews),Public,"Pune,Maharashtra + 350 more",77 years old,50k-1 Lakh employees (India),226,Automobile | 10k-50k Employees | Public | 78 years old | Pune +418 more,4.2,10k Reviews,42.9k Salaries,19 Jobs
21,Tata Motors,4.1,(7.5k Reviews),Public,"Pune,Maharashtra + 350 more",77 years old,50k-1 Lakh employees (India),426,Automobile | 10k-50k Employees | Public | 78 years old | Pune +418 more,4.2,10k Reviews,42.9k Salaries,19 Jobs
22,Bharti Airtel,4.1,(10.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 427 more",27 years old,5k-10k employees (India),25,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +594 more,4.0,10.8k Reviews,45.1k Salaries,303 Jobs
22,Bharti Airtel,4.1,(10.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 427 more",27 years old,5k-10k employees (India),225,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +594 more,4.0,10.8k Reviews,45.1k Salaries,303 Jobs
22,Bharti Airtel,4.1,(10.1k Reviews),Public,"Gurgaon/Gurugram,Haryana + 427 more",27 years old,5k-10k employees (India),425,Telecom | 10k-50k Employees | Public | 28 years old | Gurgaon/Gurugram +594 more,4.0,10.8k Reviews,45.1k Salaries,303 Jobs
24,Deloitte,4.0,(6.4k Reviews),Private,"New York,New York + 114 more",177 years old,10k-50k employees (India),21,Management Consulting | 1 Lakh+ Employees | 178 years old | London +143 more,4.0,12.6k Reviews,138.2k Salaries,316 Jobs
24,Deloitte,4.0,(6.4k Reviews),Private,"New York,New York + 114 more",177 years old,10k-50k employees (India),221,Management Consulting | 1 Lakh+ Employees | 178 years old | London +143 more,4.0,12.6k Reviews,138.2k Salaries,316 Jobs
24,Deloitte,4.0,(6.4k Reviews),Private,"New York,New York + 114 more",177 years old,10k-50k employees (India),421,Management Consulting | 1 Lakh+ Employees | 178 years old | London +143 more,4.0,12.6k Reviews,138.2k Salaries,316 Jobs
26,IndusInd Bank,3.8,(5.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 481 more",28 years old,10k-50k employees (India),31,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +625 more,3.7,8k Reviews,44.5k Salaries,246 Jobs
26,IndusInd Bank,3.8,(5.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 481 more",28 years old,10k-50k employees (India),231,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +625 more,3.7,8k Reviews,44.5k Salaries,246 Jobs
26,IndusInd Bank,3.8,(5.4k Reviews),Public,"Gurgaon/Gurugram,Haryana + 481 more",28 years old,10k-50k employees (India),431,Banking | 10k-50k Employees | Public | 29 years old | Gurgaon/Gurugram +625 more,3.7,8k Reviews,44.5k Salaries,246 Jobs
27,Reliance Retail,4.1,(9.7k Reviews),Private,"Navi Mumbai,Maharashtra + 393 more",16 years old,1 Lakh+ employees (India),18,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +896 more,3.9,15.6k Reviews,53.6k Salaries,249 Jobs
27,Reliance Retail,4.1,(9.7k Reviews),Private,"Navi Mumbai,Maharashtra + 393 more",16 years old,1 Lakh+ employees (India),218,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +896 more,3.9,15.6k Reviews,53.6k Salaries,249 Jobs
27,Reliance Retail,4.1,(9.7k Reviews),Private,"Navi Mumbai,Maharashtra + 393 more",16 years old,1 Lakh+ employees (India),418,Retail | 1 Lakh+ Employees | 17 years old | Navi Mumbai +896 more,3.9,15.6k Reviews,53.6k Salaries,249 Jobs
29,WNS,3.7,(5k Reviews),Private,"Mumbai,Maharashtra + 19 more",26 years old,10k-50k employees (India),29,BPO | 10k-50k Employees | 27 years old | Mumbai +30 more,3.6,8.4k Reviews,51.8k Salaries,235 Jobs
29,WNS,3.7,(5k Reviews),Private,"Mumbai,Maharashtra + 19 more",26 years old,10k-50k employees (India),229,BPO | 10k-50k Employees | 27 years old | Mumbai +30 more,3.6,8.4k Reviews,51.8k Salaries,235 Jobs
29,WNS,3.7,(5k Reviews),Private,"Mumbai,Maharashtra + 19 more",26 years old,10k-50k employees (India),429,BPO | 10k-50k Employees | 27 years old | Mumbai +30 more,3.6,8.4k Reviews,51.8k Salaries,235 Jobs
30,Samsung,4.0,(6.8k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 390 more",84 years old,50k-1 Lakh employees (India),134,5k-10k Employees | Public | 85 years old | Seoul +394 more,4.1,3k Reviews,16.3k Salaries,158 Jobs
30,Samsung,4.0,(6.8k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 390 more",84 years old,50k-1 Lakh employees (India),334,5k-10k Employees | Public | 85 years old | Seoul +394 more,4.1,3k Reviews,16.3k Salaries,158 Jobs
30,Samsung,4.0,(6.8k Reviews),Private,"Suwon-Si,Gyeonggi-Do + 390 more",84 years old,50k-1 Lakh employees (India),534,5k-10k Employees | Public | 85 years old | Seoul +394 more,4.1,3k Reviews,16.3k Salaries,158 Jobs
31,Maruti Suzuki,4.1,(4.8k Reviews),Public,"New Delhi,Delhi + 343 more",39 years old,10k-50k employees (India),45,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +336 more,4.2,5.8k Reviews,27k Salaries,38 Jobs
31,Maruti Suzuki,4.1,(4.8k Reviews),Public,"New Delhi,Delhi + 343 more",39 years old,10k-50k employees (India),245,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +336 more,4.2,5.8k Reviews,27k Salaries,38 Jobs
31,Maruti Suzuki,4.1,(4.8k Reviews),Public,"New Delhi,Delhi + 343 more",39 years old,10k-50k employees (India),445,Automobile | 10k-50k Employees | Public | 42 years old | New Delhi +336 more,4.2,5.8k Reviews,27k Salaries,38 Jobs
32,DXC Technology,3.7,(5.1k Reviews),Public,Virginia + 49 more,31 years old,10k-50k employees (India),32,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +57 more,3.8,7.3k Reviews,76.4k Salaries,92 Jobs
32,DXC Technology,3.7,(5.1k Reviews),Public,Virginia + 49 more,31 years old,10k-50k employees (India),232,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +57 more,3.8,7.3k Reviews,76.4k Salaries,92 Jobs
32,DXC Technology,3.7,(5.1k Reviews),Public,Virginia + 49 more,31 years old,10k-50k employees (India),432,IT Services & Consulting | 10k-50k Employees | Public | 6 years old | Minato +57 more,3.8,7.3k Reviews,76.4k Salaries,92 Jobs
33,Infosys BPM,4.0,(4.3k Reviews),"Bangalore/Bengaluru,Karnataka + 36 more",20 years old,10k-50k employees (India),,33,Analytics & KPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +54 more,3.9,7.2k Reviews,53.1k Salaries,29 Jobs
33,Infosys BPM,4.0,(4.3k Reviews),"Bangalore/Bengaluru,Karnataka + 36 more",20 years old,10k-50k employees (India),,233,Analytics & KPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +54 more,3.9,7.2k Reviews,53.1k Salaries,29 Jobs
33,Infosys BPM,4.0,(4.3k Reviews),"Bangalore/Bengaluru,Karnataka + 36 more",20 years old,10k-50k employees (India),,433,Analytics & KPO | 10k-50k Employees | 21 years old | Bangalore/Bengaluru +54 more,3.9,7.2k Reviews,53.1k Salaries,29 Jobs
34,Ericsson,4.2,(4.2k Reviews),Private,"Kista,Stockholm + 121 more",146 years old,10k-50k employees (India),43,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +139 more,4.3,6k Reviews,43.6k Salaries,22 Jobs
34,Ericsson,4.2,(4.2k Reviews),Private,"Kista,Stockholm + 121 more",146 years old,10k-50k employees (India),243,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +139 more,4.3,6k Reviews,43.6k Salaries,22 Jobs
34,Ericsson,4.2,(4.2k Reviews),Private,"Kista,Stockholm + 121 more",146 years old,10k-50k employees (India),443,10k-50k Employees | Forbes Global 2000 | 147 years old | Stockholm +139 more,4.3,6k Reviews,43.6k Salaries,22 Jobs
35,Ernst & Young,3.7,(4.1k Reviews),Private,London + 59 more,20 years old,50k-1 Lakh employees (India),28,Accounting & Auditing | 10k-50k Employees | 21 years old | London +88 more,3.7,8.7k Reviews,104.8k Salaries,1.7k Jobs
35,Ernst & Young,3.7,(4.1k Reviews),Private,London + 59 more,20 years old,50k-1 Lakh employees (India),228,Accounting & Auditing | 10k-50k Employees | 21 years old | London +88 more,3.7,8.7k Reviews,104.8k Salaries,1.7k Jobs
35,Ernst & Young,3.7,(4.1k Reviews),Private,London + 59 more,20 years old,50k-1 Lakh employees (India),428,Accounting & Auditing | 10k-50k Employees | 21 years old | London +88 more,3.7,8.7k Reviews,104.8k Salaries,1.7k Jobs
36,Bajaj Finserv,4.1,(10.6k Reviews),Public,Pune + 555 more,15 years old,10k-50k employees (India),38,Insurance | 10k-50k Employees | Public | 16 years old | Pune +783 more,4.0,6.3k Reviews,24.3k Salaries,50 Jobs
36,Bajaj Finserv,4.1,(10.6k Reviews),Public,Pune + 555 more,15 years old,10k-50k employees (India),238,Insurance | 10k-50k Employees | Public | 16 years old | Pune +783 more,4.0,6.3k Reviews,24.3k Salaries,50 Jobs
36,Bajaj Finserv,4.1,(10.6k Reviews),Public,Pune + 555 more,15 years old,10k-50k employees (India),438,Insurance | 10k-50k Employees | Public | 16 years old | Pune +783 more,4.0,6.3k Reviews,24.3k Salaries,50 Jobs
38,Startek,3.5,(3.9k Reviews),"Mumbai,Maharashtra + 46 more",5 years old,1k-5k employees (India),,41,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +59 more,3.2,6.1k Reviews,23.6k Salaries,17 Jobs
38,Startek,3.5,(3.9k Reviews),"Mumbai,Maharashtra + 46 more",5 years old,1k-5k employees (India),,241,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +59 more,3.2,6.1k Reviews,23.6k Salaries,17 Jobs
38,Startek,3.5,(3.9k Reviews),"Mumbai,Maharashtra + 46 more",5 years old,1k-5k employees (India),,441,BPO | 10k-50k Employees | Public | 6 years old | Mumbai +59 more,3.2,6.1k Reviews,23.6k Salaries,17 Jobs
41,Dr. Reddy's,4.2,(3.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 118 more",36 years old,10k-50k employees (India),48,Pharma | 10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +150 more,4.2,5.5k Reviews,23.6k Salaries,130 Jobs
41,Dr. Reddy's,4.2,(3.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 118 more",36 years old,10k-50k employees (India),248,Pharma | 10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +150 more,4.2,5.5k Reviews,23.6k Salaries,130 Jobs
41,Dr. Reddy's,4.2,(3.9k Reviews),Public,"Hyderabad/Secunderabad,Telangana + 118 more",36 years old,10k-50k employees (India),448,Pharma | 10k-50k Employees | Public | 39 years old | Hyderabad/Secunderabad +150 more,4.2,5.5k Reviews,23.6k Salaries,130 Jobs
45,Indian Army,4.7,(3.6k Reviews),"New Delhi,Delhi + 248 more",127 years old,1 Lakh+ employees (India),,66,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +292 more,4.7,4.6k Reviews,10.7k Salaries,-- Jobs
45,Indian Army,4.7,(3.6k Reviews),"New Delhi,Delhi + 248 more",127 years old,1 Lakh+ employees (India),,266,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +292 more,4.7,4.6k Reviews,10.7k Salaries,-- Jobs
45,Indian Army,4.7,(3.6k Reviews),"New Delhi,Delhi + 248 more",127 years old,1 Lakh+ employees (India),,466,Defence & Aerospace | 1 Lakh+ Employees | Public | 128 years old | New Delhi +292 more,4.7,4.6k Reviews,10.7k Salaries,-- Jobs
46,Mphasis,3.8,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",22 years old,1k-5k employees (India),42,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +41 more,3.6,6k Reviews,58.4k Salaries,70 Jobs
46,Mphasis,3.8,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",22 years old,1k-5k employees (India),242,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +41 more,3.6,6k Reviews,58.4k Salaries,70 Jobs
46,Mphasis,3.8,(3.6k Reviews),Public,"Bangalore/Bengaluru,Karnataka + 37 more",22 years old,1k-5k employees (India),442,IT Services & Consulting | 10k-50k Employees | Public | 25 years old | Bangalore/Bengaluru +41 more,3.6,6k Reviews,58.4k Salaries,70 Jobs
47,IDFC FIRST Bank,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 280 more",4 years old,10k-50k employees (India),35,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +499 more,4.0,6.9k Reviews,38.4k Salaries,90 Jobs
47,IDFC FIRST Bank,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 280 more",4 years old,10k-50k employees (India),235,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +499 more,4.0,6.9k Reviews,38.4k Salaries,90 Jobs
47,IDFC FIRST Bank,3.9,(3.5k Reviews),Public,"Mumbai,Maharashtra + 280 more",4 years old,10k-50k employees (India),435,Banking | 10k-50k Employees | Public | 5 years old | Mumbai +499 more,4.0,6.9k Reviews,38.4k Salaries,90 Jobs
50,Yes Bank,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 307 more",18 years old,10k-50k employees (India),47,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +411 more,3.9,5.6k Reviews,39.5k Salaries,29 Jobs
50,Yes Bank,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 307 more",18 years old,10k-50k employees (India),247,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +411 more,3.9,5.6k Reviews,39.5k Salaries,29 Jobs
50,Yes Bank,3.9,(3.4k Reviews),Public,"Mumbai,Maharashtra + 307 more",18 years old,10k-50k employees (India),447,Banking | 10k-50k Employees | Public | 19 years old | Mumbai +411 more,3.9,5.6k Reviews,39.5k Salaries,29 Jobs
51,Lupin,4.2,(3.5k Reviews),Public,"Mumbai,Maharashtra + 118 more",54 years old,10k-50k employees (India),59,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +148 more,4.1,4.9k Reviews,21.8k Salaries,7 Jobs
51,Lupin,4.2,(3.5k Reviews),Public,"Mumbai,Maharashtra + 118 more",54 years old,10k-50k employees (India),259,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +148 more,4.1,4.9k Reviews,21.8k Salaries,7 Jobs
51,Lupin,4.2,(3.5k Reviews),Public,"Mumbai,Maharashtra + 118 more",54 years old,10k-50k employees (India),459,Pharma | 10k-50k Employees | Public | 55 years old | Mumbai +148 more,4.1,4.9k Reviews,21.8k Salaries,7 Jobs
52,Asian Paints,4.3,(3.8k Reviews),Public,"Mumbai,Maharashtra + 283 more",80 years old,5k-10k employees (India),49,Chemicals | 10k-50k Employees | Public | 81 years old | Mumbai +375 more,4.1,5.5k Reviews,20.7k Salaries,132 Jobs
52,Asian Paints,4.3,(3.8k Reviews),Public,"Mumbai,Maharashtra + 283 more",80 years old,5k-10k employees (India),249,Chemicals | 10k-50k Employees | Public | 81 years old | Mumbai +375 more,4.1,5.5k Reviews,20.7k Salaries,132 Jobs
