,name,rating,reviews,company_type,Head_Quarters,Company_Age,No_of_Employee
1495,Hella,4.1,(260 Reviews),Private,"Lippstadt,Lippstadt + 14 more",123 years old,201-500 employees (India)
1496,Svatantra Microfin,4.3,(260 Reviews),Private,"Mumbai,Maharashtra + 102 more",10 years old,1k-5k employees (India)
1497,Forbes Marshall,4.2,(260 Reviews),Private,"Pune,Maharashtra + 16 more",97 years old,1k-5k employees (India)
1498,Kajaria Ceramics,4.3,(260 Reviews),Public,"Delhi/NCR,New Delhi + 42 more",37 years old,1k-5k employees (India)
1499,Action Constructio...,3.8,(260 Reviews),Public,"Delhi/NCR,New Delhi + 26 more",27 years old,201-500 employees (India)
1500,Poly Medicure,3.7,(260 Reviews),Public,"Delhi/NCR,Delhi + 24 more",25 years old,1k-5k employees (Global)
1501,Kellogg,4.3,(259 Reviews),Private,"Battle Creek,Michigan + 45 more",116 years old,1k-5k employees (India)
1502,Exicom,3.6,(259 Reviews),Public,Gurgaon + 19 more,28 years old,501-1k employees (India)
1503,Fena,4.1,(259 Reviews),Private,"Delhi/NCR,Delhi + 52 more",46 years old,501-1k employees (Global)
1504,Jabil Circuit Indi...,4.2,(259 Reviews),"St Petersburg,Florida + 9 more",56 years old,1k-5k employees (India),
1505,CWT,4.4,(259 Reviews),Private,Minnetonka + 10 more,28 years old,1k-5k employees (India)
1506,IIC Technologies,3.7,(259 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 14 more",28 years old,1k-5k employees (India)
1507,NetCracker,3.4,(259 Reviews),Private,Waltham + 5 more,29 years old,1k-5k employees (India)
1508,Atkins,4.0,(259 Reviews),Private,London + 14 more,84 years old,1k-5k employees (India)
1509,PPG Asian Paints,4.2,(258 Reviews),Private,"Mumbai,Maharashtra + 41 more",25 years old,501-1k employees (India)
1510,Teleysia Networks,3.3,(258 Reviews),Private,"Ahmedabad,Gujarat + 24 more",14 years old,501-1k employees (Global)
1511,City Union Bank,3.5,(258 Reviews),Public,"Thanjavur,Tamil Nadu + 67 more",118 years old,5k-10k employees (Global)
1512,Polaris Consulting,3.6,(258 Reviews),Private,"Chennai,Tamil Nadu + 15 more",29 years old,1k-5k employees (India)
1513,National Informati...,4.0,(258 Reviews),Private,New Delhi + 31 more,46 years old,501-1k employees (India)
1514,Xavient Digital - ...,3.7,(258 Reviews),"Simi Valley,California + 4 more",20 years old,1k-5k employees (India),
1515,Bharat Serums and ...,4.0,(257 Reviews),Private,"Mumbai,Maharashtra + 30 more",51 years old,1k-5k employees (India)
1516,Neeyamo Enterprise...,3.8,(257 Reviews),Private,"Chennai,Tamil Nadu + 4 more",13 years old,1k-5k employees (India)
1517,Alight Solutions,3.6,(257 Reviews),Private,Lincolnshire + 9 more,26 years old,1k-5k employees (India)
1518,CALIBEHR,3.8,(257 Reviews),Private,"Mumbai,Maharashtra + 47 more",43 years old,10k-50k employees (Global)
1519,Salcomp Manufactur...,4.1,(257 Reviews),Private,Salo + 6 more,16 years old,501-1k employees (India)
1520,Prodapt Solutions,3.5,(257 Reviews),Private,"Chennai,Tamil Nadu + 5 more",23 years old,1k-5k employees (India)
1521,Temenos,3.2,(257 Reviews),Private,"Geneva,Geneva + 5 more",29 years old,1k-5k employees (India)
1522,ITSource Technolog...,3.4,(256 Reviews),"Mumbai,Maharashtra + 26 more",24 years old,201-500 employees (India),
1523,Hapag-Lloyd,4.0,(256 Reviews),Private,Hamburg + 6 more,175 years old,1k-5k employees (India)
1524,Essar Projects Ind...,4.3,(256 Reviews),Public,Mumbai + 29 more,53 years old,5k-10k employees (India)
1525,CtrlS,4.1,(344 Reviews),Private,Hyderabad + 11 more,15 years old,201-500 employees (India)
1526,Nomura Holdings,3.9,(272 Reviews),Public,"Mumbai,Maharashtra + 5 more",13 years old,1k-5k employees (India)
1527,Triveni Engineerin...,4.1,(255 Reviews),Public,"Mysore/Mysuru,Karnataka + 35 more",90 years old,5k-10k employees (India)
1528,NCCCL,3.7,(255 Reviews),Private,"Mumbai,Maharashtra + 17 more",76 years old,1k-5k employees (India)
1529,Gujarat Heavy Chem...,4.1,(255 Reviews),Public,"Noida,Uttar Pradesh + 19 more",39 years old,1k-5k employees (India)
1530,Ricoh,4.2,(270 Reviews),Public,"Ota City,Tokyo + 40 more",86 years old,50k-1 Lakh employees (Global)
1531,National Bulk Hand...,4.3,(254 Reviews),Private,"Mumbai,Maharashtra + 56 more",19 years old,1k-5k employees (Global)
1532,Investors Clinic,2.5,(254 Reviews),"Noida,Uttar Pradesh + 16 more",13 years old,1k-5k employees (Global),
1533,Ness Technologies,3.7,(254 Reviews),Private,"Teaneck,New Jersey + 5 more",24 years old,1k-5k employees (India)
1534,Bristlecone,3.8,(254 Reviews),Private,"Pune,Maharashtra + 8 more",24 years old,1k-5k employees (India)
1535,EPAM Systems,3.8,(256 Reviews),"Newtown,Pennsylvania + 8 more",29 years old,1k-5k employees (India),
1536,Castrol,4.3,(253 Reviews),Public,"Pangbourne,Berkshire + 58 more",123 years old,1k-5k employees (India)
1537,Prism Cement,4.1,(253 Reviews),Private,Mumbai + 35 more,25 years old,1k-5k employees (Global)
1538,Pratham Education ...,4.4,(253 Reviews),Private,"Delhi/NCR,Delhi + 59 more",27 years old,1k-5k employees (India)
1539,Ryan International...,3.8,(253 Reviews),Public,"Mumbai,Maharashtra + 35 more",30 years old,10k-50k employees (Global)
1540,Kataria Automobile...,3.6,(253 Reviews),"Ahmedabad,Gujarat + 11 more",32 years old,201-500 employees (India),
1541,Pyramid IT Consult...,3.4,(253 Reviews),Private,"Atlanta,Georgia + 18 more",26 years old,51-200 employees (India)
1542,Indecomm Global Se...,3.6,(252 Reviews),Private,"Edison,New Jersey + 9 more",19 years old,1k-5k employees (India)
1543,Sterlite Power Tra...,3.9,(252 Reviews),"Delhi/NCR,Delhi + 30 more",12 years old,501-1k employees (India),
1544,Vasan Eye Care Hos...,3.8,(252 Reviews),Private,"Chennai,Tamil Nadu + 60 more",20 years old,5k-10k employees (India)
1545,DigiCall Teleservi...,3.6,(252 Reviews),Private,"Johannesburg,Vaud + 13 more",27 years old,1k-5k employees (Global)
1546,Keventer Agro,3.9,(252 Reviews),Private,Kolkata + 36 more,36 years old,1k-5k employees (India)
1547,Hpl Electric & Pow...,3.6,(252 Reviews),"Noida,Uttar Pradesh + 40 more",30 years old,1k-5k employees (Global),
1548,Zealous Services,3.0,(251 Reviews),Private,"Chennai,Tamil Nadu + 2 more",15 years old,1k-5k employees (Global)
1549,SKH Metals,3.8,(251 Reviews),Private,"Gurgaon/Gurugram,Haryana + 7 more",16 years old,1k-5k employees (Global)
1550,Hetero Healthcare,3.8,(251 Reviews),Private,"Hyderabad/Secunderabad,Telangana + 36 more",16 years old,501-1k employees (India)
1551,Allied Digital Ser...,3.3,(251 Reviews),Public,"Mumbai,Maharashtra + 21 more",27 years old,1k-5k employees (India)
1552,QHTalbros,3.7,(251 Reviews),Public,"Gurgaon/Gurugram,Haryana + 15 more",36 years old,5k-10k employees (India)
1553,GlobalData,3.8,(251 Reviews),Private,London + 2 more,38 years old,1k-5k employees (India)
1554,Aditya Birla Finan...,3.9,(250 Reviews),Private,"Mumbai,Maharashtra + 45 more",10 years old,10k-50k employees (India)
1555,Uppcl,4.0,(250 Reviews),"Lucknow,Uttar Pradesh + 58 more",23 years old,10k-50k employees (India),
1556,MagicBricks,3.5,(250 Reviews),Private,"Noida,Uttar Pradesh + 18 more",16 years old,501-1k employees (India)
1557,Doosan Power Syste...,4.0,(250 Reviews),Private,Crawley + 21 more,12 years old,501-1k employees (India)
1558,ReNew Power Ventur...,4.3,(250 Reviews),Private,Gurgaon + 28 more,11 years old,1k-5k employees (India)
1559,NetConnectGlobal,3.3,(250 Reviews),Private,"Bangalore/Bengaluru,Karnataka + 38 more",25 years old,1k-5k employees (India)
1560,NortonLifeLock's,4.0,(467 Reviews),Private,"Mountain View,California + 4 more",27 years old,1k-5k employees (India)
1561,Medtronic,3.8,(257 Reviews),Private,"Mumbai,Maharashtra + 28 more",43 years old,1k-5k employees (India)
1562,Astral Adhesives,4.3,(249 Reviews),Private,"Ahmedabad,Gujarat + 55 more",35 years old,51-200 employees (India)
1563,Vara United,3.6,(249 Reviews),Private,Mumbai + 29 more,8 years old,1k-5k employees (Global)
1564,Vidal Health Tpa,4.0,(249 Reviews),Private,Bangalore + 32 more,12 years old,201-500 employees (India)
1565,N.C.L. Industries,3.8,(249 Reviews),Public,"Hyderabad/Secunderabad,Telangana + 46 more",42 years old,501-1k employees (India)
1566,ABP Group,3.3,(249 Reviews),"Kolkata,West Bengal + 18 more",100 years old,1k-5k employees (Global),
1567,Arvato,3.7,(249 Reviews),Private,Gütersloh + 8 more,26 years old,201-500 employees (India)
1568,J K Fenner,4.0,(249 Reviews),Private,"Chennai,Tamil Nadu + 25 more",35 years old,201-500 employees (India)
1569,Bajaj Capital Insu...,3.7,(249 Reviews),New Delhi + 77 more,18 years old,1k-5k employees (India),
